List of Colleges,Code
"Baba Ghulam Shah Badshah University, Rajouri",C01
"College of Engg & Technology, Udaipur",C02
"Govt Engg College, Ajmer",C03
"Govt Engg College, Jhalawar",C04
"Govt Mahilla Engg College, Ajmer",C05
"Govt. College of Engg & Tech, Bikaner, Rajasthan",C06
"Govt. College of Engineering & Technology, Jammu",C07
IIIT Manipur,C08
"MBM Engg College, Jodhpur",C09
"Nalanda College of Engineering, Chandi, Nalanda",C10
NIT Mizoram,C11
NIT Nagaland,C12
PMEC Berhampur,C13
"Samrat Ashok Technological Institute, Engg. College, Vidisha (M.P.)",C14
"Shri Mata Vaishno Devi University, Katra",C15
"University College of Engineering, RTU Kota",C16
BIT Sindri,C17
"Anna Saheb Dange College of Engineering and Technology, Astha - 416301",C18
"BVM Engineering College, Near Shastri medan - 388120",C19
"Chaibasa Engineering College, Kelendi Jhikpani - 833215",C20
"Delhi Technological University, Shahbad Daulatpur, Main Bawana Road - 110042",C21
"DUIET, Dibrugarh University - 786004",C22
"GEC Bharatpur, Rajasthan, Pin 321001",C23
Jadavpur University - 700032,C24
"KJSIEIT, Sion, Mumbai - 400022",C25
"K J Somaiya IEIT, Sion, Mumbai - 400022",C25
"NIT Campus, Kurukshetra - 136119",C26
"S V University College of Engineering, S V University, Tirupati, Andhra Pradesh - 517504",C27
"Sardar Patel College of Engineering, Bhavans Campus Munshi Nagar - 400058",C28
"Veer Bahadur Singh Purvanchal University, Jaunpur, U.P.  - 222003",C29
"UCET, VBU, Hazaribagh",C30
