Department List,Deaprtment Code
App. Chemistry,AC
App. Maths,AM
App. Physics,AP
Applied Science,AS
Automobile Engineering,AE
Basic Science,BS
Bio Medical,BM
C.A.,CA
Ceramics,CeE
Chemical Engineering,ChE
Chemistry,Cy
Civil Engineering,CvE
Computer Engineering,CoE
Computer Science & Engineering,CSE
E&I,EI
EICE,EIC
EIE,EIE
Electrical  Engineering,EE
Electronics & Communication Engineering,ECE
Electronics & Electrical Engineering,EEE
Electronics & Telecommunication Engineering,ETE
Electronics Engineering,EnE
English,En
Farm Machinery & Power Engineering,FMPE
H&BS,HBS
Humanities,Hu
Humanities & Management,HM
Humanities & Social Sciences,HSS
Information Technology,IT
Mathematics,Ma
MBA,MBA
MCA,MCA
Mechanical Engineering,ME
Mining Engineering,MiE
P & I,PI
Petro Chemical,PCE
Physics,Ph
Processing & Food Engineering,PFE
Production Engineering,PE
Renewable Energy Engineering,REE
S&H,SH
Soil & Water Engineering,SWE
Structural,StE
